freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,CH024	13654.29 	14511.36 	13960.36 	15844.99 	: 
A,MIO_EUR,TOTAL,CH025	4225.53 	4474.79 	4229.46 	4805.61 	: 
A,MIO_EUR,TOTAL,CH03	86136.71 	90502.81 	92789.88 	95728.56 	: 
A,MIO_EUR,TOTAL,CH031	31821.85 	33241.72 	34038.8 	35799.93 	: 
A,MIO_EUR,TOTAL,CH032	17570.33 	18380.45 	18659.15 	19480.85 	: 
A,MIO_EUR,TOTAL,CH033	36744.52 	38880.64 	40091.93 	40447.78 	: 
A,MIO_EUR,TOTAL,CH04	131515.11 	135445.6 	135212.14 	136841.57 	: 
A,MIO_EUR,TOTAL,CH040	131515.11 	135445.6 	135212.14 	136841.57 	: 
A,MIO_EUR,TOTAL,CH05	70621.13 	75079.11 	77550.23 	83355.98 	: 
A,MIO_EUR,TOTAL,CH051	2348.48 	2527.07 	2521.07 	2678.96 	: 
A,MIO_EUR,TOTAL,CH052	6017.19 	6376.19 	6584.84 	7412.27 	: 
A,MIO_EUR,TOTAL,CH053	2707.78 	2855.53 	3111.94 	3228.03 	: 
A,MIO_EUR,TOTAL,CH054	872.03 	917.95 	950.08 	1039.84 	: 
A,MIO_EUR,TOTAL,CH055	32122.76 	34144.28 	35102.32 	37751.05 	: 
A,MIO_EUR,TOTAL,CH056	12205.12 	13056.08 	13303.25 	13906.61 	: 
A,MIO_EUR,TOTAL,CH057	14347.76 	15202 	15976.72 	17339.22 	: 
A,MIO_EUR,TOTAL,CH06	54315.03 	57696.66 	59590.85 	64003.82 	: 
A,MIO_EUR,TOTAL,CH061	23385.48 	24724.2 	25444.55 	27044.06 	: 
A,MIO_EUR,TOTAL,CH062	1665.17 	1765.45 	1829.59 	1895.37 	: 
A,MIO_EUR,TOTAL,CH063	8177.27 	8690.59 	9106.45 	9713.14 	: 
A,MIO_EUR,TOTAL,CH064	2123.3 	2300.73 	2345.21 	2443.61 	: 
A,MIO_EUR,TOTAL,CH065	2574.39 	2642.35 	2600.91 	2834.47 	: 
A,MIO_EUR,TOTAL,CH066	16389.43 	17573.34 	18264.14 	20073.17 	: 
A,MIO_EUR,TOTAL,CH07	25656.53 	27052.48 	26406.14 	29833.81 	: 
A,MIO_EUR,TOTAL,CH070	25656.53 	27052.48 	26406.14 	29833.81 	: 
A,MIO_EUR,TOTAL,CY0	18891.95 	20327.72 	19670.76 	22055.98 	24444.83 p
A,MIO_EUR,TOTAL,CY00	18891.95 	20327.72 	19670.76 	22055.98 	24444.83 p
A,MIO_EUR,TOTAL,CY000	18891.95 	20327.72 	19670.76 	22055.98 	24444.83 p
A,MIO_EUR,TOTAL,CZ0	190124.19 	203852.32 	196415.76 	216491.73 	250549.26 
A,MIO_EUR,TOTAL,CZ01	51982.81 	55660.03 	53563.37 	60857.88 	71114.96 
A,MIO_EUR,TOTAL,CZ010	51982.81 	55660.03 	53563.37 	60857.88 	71114.96 
A,MIO_EUR,TOTAL,CZ02	21555.39 	24172.07 	22348.52 	24118.64 	28636.2 
A,MIO_EUR,TOTAL,CZ020	21555.39 	24172.07 	22348.52 	24118.64 	28636.2 
A,MIO_EUR,TOTAL,CZ03	18580.38 	19733.03 	19193.12 	20831.55 	23467.56 
A,MIO_EUR,TOTAL,CZ031	9181.46 	9875.69 	9689.17 	10302.57 	11407.76 
A,MIO_EUR,TOTAL,CZ032	9398.92 	9857.34 	9503.95 	10528.98 	12059.8 
A,MIO_EUR,TOTAL,CZ04	13622.33 	14711.88 	13881.8 	14999.22 	17415.66 
A,MIO_EUR,TOTAL,CZ041	3366.83 	3521.89 	3318.05 	3541.77 	4098.39 
A,MIO_EUR,TOTAL,CZ042	10255.51 	11189.99 	10563.75 	11457.45 	13317.27 
A,MIO_EUR,TOTAL,CZ05	22124.54 	23586.37 	23150.33 	24886.27 	28433.04 
A,MIO_EUR,TOTAL,CZ051	6008.27 	6429.49 	6159.82 	6601.91 	7480.91 
A,MIO_EUR,TOTAL,CZ052	8665.96 	9324.11 	9121.41 	9922.74 	11047.55 
A,MIO_EUR,TOTAL,CZ053	7450.31 	7832.76 	7869.1 	8361.62 	9904.58 
A,MIO_EUR,TOTAL,CZ06	27238.94 	29277.64 	29208.77 	31881.94 	36428.48 
A,MIO_EUR,TOTAL,CZ063	7224.86 	7795.91 	7862.11 	8312.32 	8917.85 
A,MIO_EUR,TOTAL,CZ064	20014.08 	21481.73 	21346.66 	23569.62 	27510.62 
A,MIO_EUR,TOTAL,CZ07	17432.25 	18769.07 	18176.49 	20033.39 	22989.09 
A,MIO_EUR,TOTAL,CZ071	8724.22 	9331.52 	9184.99 	10133.31 	11735.69 
A,MIO_EUR,TOTAL,CZ072	8708.04 	9437.55 	8991.49 	9900.08 	11253.4 
A,MIO_EUR,TOTAL,CZ08	17587.55 	17942.23 	16893.37 	18882.84 	22064.28 
A,MIO_EUR,TOTAL,CZ080	17587.55 	17942.23 	16893.37 	18882.84 	22064.28 
A,MIO_EUR,TOTAL,DE1	465481.53 e	473527.93 e	461696.26 e	490301.72 e	519979.68 e
A,MIO_EUR,TOTAL,DE11	200286.5 e	199137.76 e	193496.3 e	204847.9 e	216790 e
A,MIO_EUR,TOTAL,DE111	52453.18 e	50423.13 e	48081.22 e	50255.43 e	: 
A,MIO_EUR,TOTAL,DE112	23498.75 e	22099.58 e	21523.17 e	23932.98 e	: 
A,MIO_EUR,TOTAL,DE113	20733.3 e	20733.4 e	19909.43 e	21830.08 e	: 
A,MIO_EUR,TOTAL,DE114	7798.57 e	7819.62 e	7460.45 e	7865.96 e	: 
A,MIO_EUR,TOTAL,DE115	23027.79 e	22573.4 e	22550.33 e	22576.6 e	: 
