rowid,subject_category
646,Chemistry
646,Materials Science
646,Metallurgy & Metallurgical Engineering
647,Oncology
647,Cell Biology
648,Obstetrics & Gynecology
648,Reproductive Biology
649,Chemistry
650,Chemistry
651,Geochemistry & Geophysics
651,Mineralogy
652,Behavioral Sciences
652,Neurosciences & Neurology
653,General & Internal Medicine
654,Chemistry
655,Computer Science
655,Engineering
656,Life Sciences & Biomedicine - Other Topics
657,Endocrinology & Metabolism
657,General & Internal Medicine
658,Research & Experimental Medicine
658,Pharmacology & Pharmacy
659,Behavioral Sciences
659,Zoology
660,Neurosciences & Neurology
661,Immunology
661,Microbiology
661,Respiratory System
662,Materials Science
662,Metallurgy & Metallurgical Engineering
663,Psychology
664,Geriatrics & Gerontology
664,Neurosciences & Neurology
665,Chemistry
666,Neurosciences & Neurology
666,Zoology
667,Thermodynamics
667,Chemistry
668,Instruments & Instrumentation
669,Biochemistry & Molecular Biology
670,Mathematics
671,Biochemistry & Molecular Biology
671,Cell Biology
672,Mathematics
673,Neurosciences & Neurology
674,Biochemistry & Molecular Biology
674,Life Sciences & Biomedicine - Other Topics
674,Cell Biology
675,General & Internal Medicine
676,Research & Experimental Medicine
676,Cardiovascular System & Cardiology
677,Zoology
678,Information Science & Library Science
679,Life Sciences & Biomedicine - Other Topics
680,Biodiversity & Conservation
680,Environmental Sciences & Ecology
681,Behavioral Sciences
681,Environmental Sciences & Ecology
681,Zoology
682,Pharmacology & Pharmacy
683,Oncology
684,Environmental Sciences & Ecology
685,Automation & Control Systems
685,Chemistry
685,Computer Science
685,Instruments & Instrumentation
685,Mathematics
686,Neurosciences & Neurology
687,Biochemistry & Molecular Biology
687,Biophysics
687,Cell Biology
688,Mathematics
689,Life Sciences & Biomedicine - Other Topics
689,Mathematical & Computational Biology
690,Neurosciences & Neurology
691,Biochemistry & Molecular Biology
691,Pharmacology & Pharmacy
692,Biochemistry & Molecular Biology
692,Cell Biology
693,Physics
694,Biochemistry & Molecular Biology
694,Biophysics
695,Biochemistry & Molecular Biology
695,Chemistry
696,Oncology
696,Research & Experimental Medicine
697,Evolutionary Biology
698,Biochemistry & Molecular Biology
698,Cell Biology
699,Biochemistry & Molecular Biology
699,Chemistry
700,Physics
701,Astronomy & Astrophysics
701,Physics
702,Biochemistry & Molecular Biology
702,Chemistry
703,Mathematics
704,Physics
705,Biochemistry & Molecular Biology
705,Immunology
706,Psychiatry
707,Neurosciences & Neurology
707,Pathology
708,Thermodynamics
708,Engineering
708,Physics
709,Mathematics
710,Science & Technology - Other Topics
710,Materials Science
710,Metallurgy & Metallurgical Engineering
711,Cardiovascular System & Cardiology
712,Psychology
712,Behavioral Sciences
712,Zoology
713,Science & Technology - Other Topics
714,Sport Sciences
715,Biochemistry & Molecular Biology
715,Cell Biology
716,Science & Technology - Other Topics
716,Research & Experimental Medicine
717,Neurosciences & Neurology
718,Cardiovascular System & Cardiology
719,Plant Sciences
719,Environmental Sciences & Ecology
719,Forestry
720,Neurosciences & Neurology
720,Psychiatry
721,Food Science & Technology
721,Nutrition & Dietetics
722,Physiology
722,Zoology
723,Behavioral Sciences
723,Zoology
724,Materials Science
724,Metallurgy & Metallurgical Engineering
725,Spectroscopy
726,Rheumatology
727,Mathematics
728,Behavioral Sciences
728,Zoology
729,Pharmacology & Pharmacy
730,Astronomy & Astrophysics
731,Geology
732,Chemistry
732,Crystallography
733,Astronomy & Astrophysics
733,Computer Science
734,Endocrinology & Metabolism
735,Biodiversity & Conservation
735,Environmental Sciences & Ecology
736,Chemistry
737,Psychology
737,Behavioral Sciences
737,Zoology
738,Agriculture
738,Environmental Sciences & Ecology
739,Environmental Sciences & Ecology
740,Immunology
741,Mathematics
742,Plant Sciences
742,Paleontology
743,Pharmacology & Pharmacy
744,Mathematics
745,Linguistics
746,Construction & Building Technology
747,Pharmacology & Pharmacy
747,Chemistry
748,Oncology
748,Pathology
749,Mathematics
750,Immunology
750,Microbiology
751,Physics
752,Neurosciences & Neurology
753,Psychology
754,Psychology
755,Pharmacology & Pharmacy
756,Nutrition & Dietetics
757,Pharmacology & Pharmacy
758,Chemistry
758,Science & Technology - Other Topics
758,Materials Science
758,Physics
759,Astronomy & Astrophysics
760,Biochemistry & Molecular Biology
760,Chemistry
761,Environmental Sciences & Ecology
762,Surgery
762,Cardiovascular System & Cardiology
763,NA
764,"Radiology, Nuclear Medicine & Medical Imaging"
765,Psychiatry
766,Obstetrics & Gynecology
767,Chemistry
768,Biochemistry & Molecular Biology
768,Biotechnology & Applied Microbiology
768,Engineering
769,Physics
770,Immunology
771,Neurosciences & Neurology
772,Astronomy & Astrophysics
772,Physics
773,Cell Biology
773,Endocrinology & Metabolism
774,Biochemistry & Molecular Biology
774,Biophysics
775,Gastroenterology & Hepatology
776,Food Science & Technology
776,Nutrition & Dietetics
777,Behavioral Sciences
777,Neurosciences & Neurology
777,Psychology
778,Gastroenterology & Hepatology
779,Physics
780,Mathematics
781,Mathematics
782,Developmental Biology
782,Physiology
783,Geology
784,Mathematics
785,Developmental Biology
785,Physiology
786,Hematology
786,Cardiovascular System & Cardiology
787,Cell Biology
787,Physiology
788,"Radiology, Nuclear Medicine & Medical Imaging"
789,Psychology
790,Neurosciences & Neurology
791,Respiratory System
792,Neurosciences & Neurology
793,Astronomy & Astrophysics
794,Materials Science
